order_id,order_date,order_time,order_datetime,category,product,quantity,unit_price,total_amount,discount_percent,discount_amount,final_amount,city,delivery_time_minutes,customer_rating,order_type,day_of_week,is_weekend,month
BLK10012,2024-09-28,08:38:00,2024-09-28 08:38:00,Beverages,Coffee,1,205,205,23,47.15,157.85,Delhi,24,4,Scheduled,Saturday,True,September
BLK10013,2024-02-13,23:52:00,2024-02-13 23:52:00,Groceries,Salt,2,387,774,21,162.54,611.46,Mumbai,32,5,Scheduled,Tuesday,False,February
BLK10014,2024-08-04,14:59:00,2024-08-04 14:59:00,Personal Care,Soap,4,412,1648,0,0.0,1648.0,Bangalore,30,5,Instant,Sunday,True,August
BLK10015,2024-02-02,18:01:00,2024-02-02 18:01:00,Personal Care,Face Cream,5,255,1275,0,0.0,1275.0,Mumbai,25,3,Instant,Friday,False,February
BLK10016,2024-01-17,18:04:00,2024-01-17 18:04:00,Personal Care,Soap,4,249,996,0,0.0,996.0,Bangalore,41,3,Instant,Wednesday,False,January
BLK10017,2024-08-30,15:50:00,2024-08-30 15:50:00,Dairy,Butter,1,74,74,0,0.0,74.0,Mumbai,35,4,Instant,Friday,False,August
BLK10018,2024-01-28,11:03:00,2024-01-28 11:03:00,Dairy,Cheese,2,123,246,10,24.6,221.4,Delhi,23,5,Instant,Sunday,True,January
BLK10019,2024-05-07,10:28:00,2024-05-07 10:28:00,Personal Care,Shampoo,5,45,225,0,0.0,225.0,Delhi,21,5,Instant,Tuesday,False,May
BLK10020,2024-09-05,23:13:00,2024-09-05 23:13:00,Dairy,Milk,4,26,104,0,0.0,104.0,Mumbai,31,4,Instant,Thursday,False,September
BLK10021,2024-08-04,23:09:00,2024-08-04 23:09:00,Snacks,Chocolates,1,158,158,0,0.0,158.0,Mumbai,33,3,Instant,Sunday,True,August
BLK10022,2024-09-01,13:03:00,2024-09-01 13:03:00,Personal Care,Shampoo,1,99,99,0,0.0,99.0,Mumbai,35,5,Scheduled,Sunday,True,September
BLK10023,2024-10-18,15:37:00,2024-10-18 15:37:00,Personal Care,Shampoo,1,459,459,0,0.0,459.0,Kolkata,40,5,Scheduled,Friday,False,October
BLK10024,2024-04-14,18:15:00,2024-04-14 18:15:00,Beverages,Coffee,3,254,762,0,0.0,762.0,Mumbai,30,5,Instant,Sunday,True,April
BLK10025,2024-11-14,11:04:00,2024-11-14 11:04:00,Personal Care,Soap,3,165,495,0,0.0,495.0,Kolkata,35,5,Instant,Thursday,False,November
BLK10026,2024-03-21,22:53:00,2024-03-21 22:53:00,Personal Care,Toothpaste,5,38,190,8,15.2,174.8,Kolkata,40,5,Scheduled,Thursday,False,March
BLK10027,2024-03-09,16:07:00,2024-03-09 16:07:00,Groceries,Sugar,2,189,378,0,0.0,378.0,Kolkata,34,5,Instant,Saturday,True,March
BLK10028,2024-11-20,16:32:00,2024-11-20 16:32:00,Dairy,Cheese,1,349,349,15,52.35,296.65,Delhi,26,5,Instant,Wednesday,False,November
BLK10029,2024-11-22,16:10:00,2024-11-22 16:10:00,Fruits & Vegetables,Potatoes,4,22,88,0,0.0,88.0,Kolkata,31,3,Scheduled,Friday,False,November
BLK10030,2024-10-06,09:53:00,2024-10-06 09:53:00,Beverages,Energy Drinks,2,240,480,0,0.0,480.0,Kolkata,32,2,Scheduled,Sunday,True,October
BLK10031,2024-01-21,19:13:00,2024-01-21 19:13:00,Fruits & Vegetables,Bananas,3,124,372,0,0.0,372.0,Delhi,39,5,Instant,Sunday,True,January
BLK10032,2024-03-24,13:56:00,2024-03-24 13:56:00,Dairy,Milk,3,235,705,0,0.0,705.0,Mumbai,35,5,Instant,Sunday,True,March
BLK10033,2024-12-25,11:24:00,2024-12-25 11:24:00,Groceries,Cooking Oil,2,468,936,0,0.0,936.0,Mumbai,32,4,Scheduled,Wednesday,False,December
BLK10034,2024-04-24,08:42:00,2024-04-24 08:42:00,Snacks,Noodles,3,27,81,0,0.0,81.0,Bangalore,27,4,Instant,Wednesday,False,April
BLK10035,2024-10-01,18:01:00,2024-10-01 18:01:00,Groceries,Pulses,5,185,925,0,0.0,925.0,Mumbai,25,3,Instant,Tuesday,False,October
BLK10036,2024-06-09,21:38:00,2024-06-09 21:38:00,Personal Care,Shampoo,5,224,1120,0,0.0,1120.0,Chennai,41,2,Instant,Sunday,True,June
BLK10037,2024-10-02,14:23:00,2024-10-02 14:23:00,Dairy,Milk,5,185,925,0,0.0,925.0,Bangalore,33,5,Instant,Wednesday,False,October
BLK10038,2024-06-07,21:20:00,2024-06-07 21:20:00,Dairy,Cheese,2,123,246,0,0.0,246.0,Kolkata,36,5,Instant,Friday,False,June
BLK10039,2024-03-30,17:25:00,2024-03-30 17:25:00,Personal Care,Shampoo,3,245,735,0,0.0,735.0,Bangalore,29,5,Instant,Saturday,True,March
BLK10040,2024-08-14,22:43:00,2024-08-14 22:43:00,Snacks,Cookies,2,178,356,0,0.0,356.0,Chennai,28,4,Instant,Wednesday,False,August
BLK10041,2024-02-17,15:43:00,2024-02-17 15:43:00,Beverages,Juice,2,32,64,0,0.0,64.0,Mumbai,25,4,Scheduled,Saturday,True,February
BLK10042,2024-02-07,22:26:00,2024-02-07 22:26:00,Fruits & Vegetables,Onions,4,146,584,0,0.0,584.0,Mumbai,31,4,Instant,Wednesday,False,February
BLK10043,2024-02-24,21:14:00,2024-02-24 21:14:00,Snacks,Cookies,1,152,152,9,13.68,138.32,Chennai,40,5,Scheduled,Saturday,True,February
BLK10044,2024-12-07,18:48:00,2024-12-07 18:48:00,Dairy,Paneer,4,305,1220,0,0.0,1220.0,Kolkata,47,5,Instant,Saturday,True,December
BLK10045,2024-05-12,15:53:00,2024-05-12 15:53:00,Fruits & Vegetables,Tomatoes,4,81,324,0,0.0,324.0,Kolkata,34,4,Instant,Sunday,True,May
BLK10046,2024-06-20,18:57:00,2024-06-20 18:57:00,Personal Care,Shampoo,2,266,532,0,0.0,532.0,Mumbai,31,5,Instant,Thursday,False,June
BLK10047,2024-07-27,18:34:00,2024-07-27 18:34:00,Dairy,Butter,2,240,480,0,0.0,480.0,Delhi,36,5,Instant,Saturday,True,July
BLK10048,2024-10-21,20:30:00,2024-10-21 20:30:00,Groceries,Pulses,4,486,1944,0,0.0,1944.0,Bangalore,39,5,Instant,Monday,False,October
BLK10049,2024-04-22,23:14:00,2024-04-22 23:14:00,Beverages,Coffee,1,219,219,0,0.0,219.0,Chennai,32,5,Instant,Monday,False,April
BLK10050,2024-08-27,12:39:00,2024-08-27 12:39:00,Personal Care,Shampoo,5,57,285,19,54.15,230.85,Chennai,28,5,Instant,Tuesday,False,August
BLK10051,2024-05-13,20:20:00,2024-05-13 20:20:00,Snacks,Noodles,3,107,321,0,0.0,321.0,Bangalore,37,5,Instant,Monday,False,May
BLK10052,2024-02-11,23:01:00,2024-02-11 23:01:00,Fruits & Vegetables,Onions,3,77,231,0,0.0,231.0,Delhi,30,3,Instant,Sunday,True,February
BLK10053,2024-01-16,15:12:00,2024-01-16 15:12:00,Groceries,Salt,2,114,228,0,0.0,228.0,Mumbai,32,5,Instant,Tuesday,False,January
BLK10054,2024-12-24,16:49:00,2024-12-24 16:49:00,Beverages,Juice,5,78,390,5,19.5,370.5,Kolkata,32,5,Scheduled,Tuesday,False,December
BLK10055,2024-10-21,20:25:00,2024-10-21 20:25:00,Fruits & Vegetables,Bananas,5,82,410,0,0.0,410.0,Delhi,31,5,Instant,Monday,False,October
BLK10056,2024-03-02,09:22:00,2024-03-02 09:22:00,Personal Care,Deodorant,1,548,548,0,0.0,548.0,Bangalore,33,4,Scheduled,Saturday,True,March
BLK10057,2024-02-24,21:23:00,2024-02-24 21:23:00,Fruits & Vegetables,Potatoes,4,65,260,22,57.2,202.8,Mumbai,43,5,Instant,Saturday,True,February
BLK10058,2024-08-26,21:52:00,2024-08-26 21:52:00,Fruits & Vegetables,Onions,3,82,246,0,0.0,246.0,Bangalore,24,4,Instant,Monday,False,August
BLK10059,2024-10-18,20:21:00,2024-10-18 20:21:00,Groceries,Cooking Oil,2,299,598,13,77.74,520.26,Bangalore,36,4,Scheduled,Friday,False,October
BLK10060,2024-12-25,16:35:00,2024-12-25 16:35:00,Groceries,Salt,1,173,173,0,0.0,173.0,Mumbai,31,4,Instant,Wednesday,False,December
BLK10061,2024-11-26,23:28:00,2024-11-26 23:28:00,Groceries,Rice,2,257,514,0,0.0,514.0,Bangalore,26,4,Instant,Tuesday,False,November
BLK10062,2024-09-28,19:27:00,2024-09-28 19:27:00,Fruits & Vegetables,Onions,3,136,408,11,44.88,363.12,Bangalore,37,4,Instant,Saturday,True,September
BLK10063,2024-10-01,13:12:00,2024-10-01 13:12:00,Snacks,Noodles,5,144,720,11,79.2,640.8,Bangalore,32,4,Instant,Tuesday,False,October
BLK10064,2024-07-03,13:19:00,2024-07-03 13:19:00,Groceries,Sugar,2,190,380,0,0.0,380.0,Kolkata,30,5,Instant,Wednesday,False,July
BLK10065,2024-03-05,23:06:00,2024-03-05 23:06:00,Groceries,Salt,4,295,1180,0,0.0,1180.0,Bangalore,30,4,Instant,Tuesday,False,March
BLK10066,2024-09-01,11:52:00,2024-09-01 11:52:00,Groceries,Cooking Oil,1,345,345,23,79.35,265.65,Chennai,37,5,Scheduled,Sunday,True,September
BLK10067,2024-02-13,15:07:00,2024-02-13 15:07:00,Personal Care,Deodorant,5,261,1305,0,0.0,1305.0,Kolkata,38,4,Instant,Tuesday,False,February
BLK10068,2024-10-28,21:19:00,2024-10-28 21:19:00,Personal Care,Face Cream,5,131,655,7,45.85,609.15,Delhi,23,5,Instant,Monday,False,October
BLK10069,2024-03-29,10:10:00,2024-03-29 10:10:00,Groceries,Cooking Oil,5,290,1450,14,203.0,1247.0,Chennai,31,2,Instant,Friday,False,March
BLK10070,2024-08-20,10:43:00,2024-08-20 10:43:00,Snacks,Chocolates,2,118,236,0,0.0,236.0,Kolkata,31,5,Scheduled,Tuesday,False,August
BLK10071,2024-03-13,10:03:00,2024-03-13 10:03:00,Snacks,Chocolates,5,83,415,0,0.0,415.0,Kolkata,37,3,Instant,Wednesday,False,March
BLK10072,2024-05-19,23:28:00,2024-05-19 23:28:00,Groceries,Salt,4,426,1704,12,204.48,1499.52,Delhi,25,5,Scheduled,Sunday,True,May
BLK10073,2024-10-21,08:48:00,2024-10-21 08:48:00,Fruits & Vegetables,Tomatoes,1,64,64,0,0.0,64.0,Kolkata,37,5,Instant,Monday,False,October
BLK10074,2024-10-26,21:40:00,2024-10-26 21:40:00,Dairy,Milk,3,234,702,10,70.2,631.8,Chennai,42,4,Instant,Saturday,True,October
BLK10075,2024-12-21,23:18:00,2024-12-21 23:18:00,Fruits & Vegetables,Potatoes,1,136,136,0,0.0,136.0,Kolkata,31,4,Scheduled,Saturday,True,December
BLK10076,2024-07-25,08:42:00,2024-07-25 08:42:00,Personal Care,Deodorant,1,222,222,0,0.0,222.0,Chennai,35,4,Instant,Thursday,False,July
BLK10077,2024-01-27,14:17:00,2024-01-27 14:17:00,Personal Care,Soap,4,526,2104,0,0.0,2104.0,Bangalore,24,2,Instant,Saturday,True,January
BLK10078,2024-12-29,13:19:00,2024-12-29 13:19:00,Personal Care,Shampoo,4,125,500,0,0.0,500.0,Kolkata,33,5,Instant,Sunday,True,December
BLK10079,2024-03-01,12:31:00,2024-03-01 12:31:00,Fruits & Vegetables,Tomatoes,3,126,378,22,83.16,294.84000000000003,Kolkata,37,5,Instant,Friday,False,March
BLK10080,2024-04-07,12:55:00,2024-04-07 12:55:00,Groceries,Pulses,3,453,1359,14,190.26,1168.74,Chennai,35,4,Scheduled,Sunday,True,April
BLK10081,2024-10-23,23:55:00,2024-10-23 23:55:00,Snacks,Noodles,4,98,392,0,0.0,392.0,Kolkata,35,5,Instant,Wednesday,False,October
BLK10082,2024-06-13,14:44:00,2024-06-13 14:44:00,Snacks,Cookies,2,115,230,0,0.0,230.0,Chennai,27,4,Scheduled,Thursday,False,June
BLK10083,2024-07-14,20:42:00,2024-07-14 20:42:00,Fruits & Vegetables,Bananas,1,52,52,0,0.0,52.0,Chennai,45,5,Instant,Sunday,True,July
BLK10084,2024-08-13,11:33:00,2024-08-13 11:33:00,Dairy,Milk,4,360,1440,0,0.0,1440.0,Mumbai,27,3,Instant,Tuesday,False,August
BLK10085,2024-11-15,20:41:00,2024-11-15 20:41:00,Groceries,Pulses,4,212,848,0,0.0,848.0,Kolkata,50,5,Scheduled,Friday,False,November
BLK10086,2024-01-19,10:15:00,2024-01-19 10:15:00,Fruits & Vegetables,Tomatoes,1,131,131,0,0.0,131.0,Mumbai,26,5,Instant,Friday,False,January
BLK10087,2024-03-26,17:57:00,2024-03-26 17:57:00,Groceries,Rice,1,200,200,21,42.0,158.0,Bangalore,28,4,Instant,Tuesday,False,March
BLK10088,2024-12-15,13:10:00,2024-12-15 13:10:00,Snacks,Chips,4,168,672,0,0.0,672.0,Kolkata,40,4,Instant,Sunday,True,December
BLK10089,2024-08-24,16:29:00,2024-08-24 16:29:00,Beverages,Soft Drinks,3,299,897,0,0.0,897.0,Chennai,29,3,Scheduled,Saturday,True,August
BLK10090,2024-06-02,21:44:00,2024-06-02 21:44:00,Beverages,Coffee,2,216,432,0,0.0,432.0,Bangalore,30,3,Instant,Sunday,True,June
BLK10091,2024-05-31,17:01:00,2024-05-31 17:01:00,Fruits & Vegetables,Potatoes,1,32,32,0,0.0,32.0,Bangalore,32,5,Scheduled,Friday,False,May
BLK10092,2024-04-27,19:14:00,2024-04-27 19:14:00,Fruits & Vegetables,Bananas,3,55,165,0,0.0,165.0,Kolkata,50,3,Instant,Saturday,True,April
BLK10093,2024-08-13,09:37:00,2024-08-13 09:37:00,Beverages,Juice,3,187,561,22,123.42,437.58,Delhi,26,3,Scheduled,Tuesday,False,August
BLK10094,2024-07-06,16:53:00,2024-07-06 16:53:00,Snacks,Chocolates,3,96,288,12,34.56,253.44,Chennai,28,4,Scheduled,Saturday,True,July
BLK10095,2024-12-11,20:54:00,2024-12-11 20:54:00,Personal Care,Toothpaste,4,44,176,0,0.0,176.0,Delhi,34,5,Instant,Wednesday,False,December
BLK10096,2024-12-10,16:37:00,2024-12-10 16:37:00,Dairy,Cheese,2,266,532,0,0.0,532.0,Delhi,20,5,Instant,Tuesday,False,December
BLK10097,2024-11-08,15:41:00,2024-11-08 15:41:00,Groceries,Sugar,3,382,1146,6,68.76,1077.24,Chennai,33,3,Instant,Friday,False,November
BLK10098,2024-09-09,11:06:00,2024-09-09 11:06:00,Snacks,Cookies,4,126,504,0,0.0,504.0,Mumbai,30,5,Scheduled,Monday,False,September
BLK10099,2024-08-02,12:56:00,2024-08-02 12:56:00,Dairy,Milk,5,233,1165,0,0.0,1165.0,Chennai,31,2,Instant,Friday,False,August
BLK10100,2024-04-30,19:06:00,2024-04-30 19:06:00,Fruits & Vegetables,Tomatoes,3,35,105,0,0.0,105.0,Kolkata,46,4,Scheduled,Tuesday,False,April
BLK10101,2024-08-20,10:42:00,2024-08-20 10:42:00,Snacks,Cookies,1,95,95,0,0.0,95.0,Delhi,23,5,Instant,Tuesday,False,August
BLK10102,2024-10-10,14:37:00,2024-10-10 14:37:00,Snacks,Biscuits,2,162,324,0,0.0,324.0,Bangalore,23,4,Scheduled,Thursday,False,October
BLK10103,2024-10-03,16:51:00,2024-10-03 16:51:00,Snacks,Chips,2,13,26,15,3.9,22.1,Delhi,25,5,Instant,Thursday,False,October
BLK10104,2024-05-15,09:08:00,2024-05-15 09:08:00,Fruits & Vegetables,Potatoes,1,36,36,0,0.0,36.0,Kolkata,37,4,Instant,Wednesday,False,May
BLK10105,2024-08-19,15:39:00,2024-08-19 15:39:00,Groceries,Sugar,3,284,852,20,170.4,681.6,Kolkata,40,5,Scheduled,Monday,False,August
BLK10106,2024-08-06,11:31:00,2024-08-06 11:31:00,Fruits & Vegetables,Potatoes,1,102,102,24,24.48,77.52,Delhi,29,3,Instant,Tuesday,False,August
BLK10107,2024-10-07,18:24:00,2024-10-07 18:24:00,Personal Care,Face Cream,4,547,2188,0,0.0,2188.0,Bangalore,42,4,Instant,Monday,False,October
BLK10108,2024-12-01,14:27:00,2024-12-01 14:27:00,Dairy,Curd,3,257,771,18,138.78,632.22,Chennai,33,4,Instant,Sunday,True,December
BLK10109,2024-05-10,19:09:00,2024-05-10 19:09:00,Fruits & Vegetables,Potatoes,1,41,41,0,0.0,41.0,Delhi,31,4,Instant,Friday,False,May
BLK10110,2024-03-07,09:37:00,2024-03-07 09:37:00,Personal Care,Face Cream,1,450,450,0,0.0,450.0,Bangalore,28,5,Instant,Thursday,False,March
BLK10111,2024-01-27,17:38:00,2024-01-27 17:38:00,Beverages,Tea,5,279,1395,0,0.0,1395.0,Delhi,23,3,Scheduled,Saturday,True,January
BLK10112,2024-06-28,19:07:00,2024-06-28 19:07:00,Beverages,Energy Drinks,4,33,132,0,0.0,132.0,Mumbai,44,5,Instant,Friday,False,June
BLK10113,2024-04-02,16:44:00,2024-04-02 16:44:00,Beverages,Tea,1,112,112,0,0.0,112.0,Bangalore,25,5,Instant,Tuesday,False,April
BLK10114,2024-11-20,08:05:00,2024-11-20 08:05:00,Fruits & Vegetables,Onions,4,127,508,0,0.0,508.0,Mumbai,32,4,Instant,Wednesday,False,November
BLK10115,2024-10-17,10:56:00,2024-10-17 10:56:00,Groceries,Wheat,5,75,375,0,0.0,375.0,Mumbai,35,3,Instant,Thursday,False,October
BLK10116,2024-11-06,22:26:00,2024-11-06 22:26:00,Beverages,Juice,1,196,196,0,0.0,196.0,Kolkata,36,3,Instant,Wednesday,False,November
BLK10117,2024-09-26,17:02:00,2024-09-26 17:02:00,Snacks,Noodles,1,11,11,9,0.99,10.01,Kolkata,33,4,Instant,Thursday,False,September
BLK10118,2024-05-28,18:07:00,2024-05-28 18:07:00,Groceries,Cooking Oil,2,116,232,22,51.04,180.96,Chennai,33,5,Scheduled,Tuesday,False,May
BLK10119,2024-06-30,10:25:00,2024-06-30 10:25:00,Fruits & Vegetables,Apples,1,137,137,0,0.0,137.0,Chennai,28,5,Instant,Sunday,True,June
BLK10120,2024-12-29,21:18:00,2024-12-29 21:18:00,Groceries,Cooking Oil,3,137,411,0,0.0,411.0,Delhi,29,4,Instant,Sunday,True,December
BLK10121,2024-08-11,11:15:00,2024-08-11 11:15:00,Dairy,Paneer,5,65,325,0,0.0,325.0,Chennai,33,5,Instant,Sunday,True,August
BLK10122,2024-03-27,10:32:00,2024-03-27 10:32:00,Fruits & Vegetables,Apples,5,69,345,0,0.0,345.0,Kolkata,35,4,Instant,Wednesday,False,March
BLK10123,2024-03-16,15:06:00,2024-03-16 15:06:00,Snacks,Chocolates,2,164,328,0,0.0,328.0,Mumbai,27,5,Instant,Saturday,True,March
BLK10124,2024-11-17,23:29:00,2024-11-17 23:29:00,Personal Care,Face Cream,5,360,1800,0,0.0,1800.0,Chennai,37,4,Instant,Sunday,True,November
BLK10125,2024-11-19,17:50:00,2024-11-19 17:50:00,Beverages,Energy Drinks,3,279,837,0,0.0,837.0,Delhi,21,4,Instant,Tuesday,False,November
BLK10126,2024-05-26,10:41:00,2024-05-26 10:41:00,Groceries,Salt,5,246,1230,0,0.0,1230.0,Kolkata,37,5,Instant,Sunday,True,May
BLK10127,2024-01-22,22:58:00,2024-01-22 22:58:00,Personal Care,Soap,5,517,2585,8,206.8,2378.2,Bangalore,31,3,Scheduled,Monday,False,January
BLK10128,2024-06-24,10:32:00,2024-06-24 10:32:00,Fruits & Vegetables,Bananas,2,132,264,0,0.0,264.0,Delhi,27,5,Instant,Monday,False,June
BLK10129,2024-05-24,20:26:00,2024-05-24 20:26:00,Beverages,Energy Drinks,3,53,159,0,0.0,159.0,Delhi,35,3,Instant,Friday,False,May
BLK10130,2024-12-02,12:21:00,2024-12-02 12:21:00,Groceries,Salt,3,208,624,0,0.0,624.0,Mumbai,35,5,Instant,Monday,False,December
BLK10131,2024-02-13,17:35:00,2024-02-13 17:35:00,Dairy,Cheese,5,72,360,0,0.0,360.0,Mumbai,35,5,Instant,Tuesday,False,February
BLK10132,2024-06-07,13:13:00,2024-06-07 13:13:00,Beverages,Coffee,2,90,180,0,0.0,180.0,Mumbai,27,3,Instant,Friday,False,June
BLK10133,2024-10-03,09:42:00,2024-10-03 09:42:00,Beverages,Energy Drinks,5,212,1060,0,0.0,1060.0,Mumbai,27,3,Instant,Thursday,False,October
BLK10134,2024-03-25,22:02:00,2024-03-25 22:02:00,Dairy,Cheese,4,337,1348,0,0.0,1348.0,Mumbai,29,5,Instant,Monday,False,March
BLK10135,2024-05-02,17:51:00,2024-05-02 17:51:00,Dairy,Curd,5,250,1250,0,0.0,1250.0,Bangalore,30,5,Instant,Thursday,False,May
BLK10136,2024-08-02,13:52:00,2024-08-02 13:52:00,Snacks,Cookies,3,23,69,0,0.0,69.0,Mumbai,35,4,Scheduled,Friday,False,August
BLK10137,2024-12-30,11:18:00,2024-12-30 11:18:00,Groceries,Wheat,4,312,1248,12,149.76,1098.24,Bangalore,25,5,Scheduled,Monday,False,December
BLK10138,2024-06-27,08:26:00,2024-06-27 08:26:00,Groceries,Cooking Oil,3,170,510,0,0.0,510.0,Kolkata,36,5,Instant,Thursday,False,June
BLK10139,2024-02-20,18:50:00,2024-02-20 18:50:00,Snacks,Biscuits,3,130,390,0,0.0,390.0,Delhi,32,5,Instant,Tuesday,False,February
BLK10140,2024-02-10,08:16:00,2024-02-10 08:16:00,Snacks,Biscuits,5,145,725,14,101.5,623.5,Kolkata,36,3,Instant,Saturday,True,February
BLK10141,2024-05-02,21:40:00,2024-05-02 21:40:00,Personal Care,Deodorant,1,541,541,0,0.0,541.0,Delhi,29,5,Instant,Thursday,False,May
BLK10142,2024-03-14,17:27:00,2024-03-14 17:27:00,Groceries,Salt,2,342,684,0,0.0,684.0,Bangalore,29,3,Instant,Thursday,False,March
BLK10143,2024-07-03,10:33:00,2024-07-03 10:33:00,Personal Care,Face Cream,5,50,250,17,42.5,207.5,Kolkata,36,5,Scheduled,Wednesday,False,July
BLK10144,2024-05-09,08:22:00,2024-05-09 08:22:00,Groceries,Pulses,1,445,445,0,0.0,445.0,Mumbai,34,5,Instant,Thursday,False,May
BLK10145,2024-10-06,18:52:00,2024-10-06 18:52:00,Fruits & Vegetables,Bananas,4,66,264,0,0.0,264.0,Chennai,29,3,Instant,Sunday,True,October
BLK10146,2024-05-30,14:02:00,2024-05-30 14:02:00,Snacks,Chips,3,141,423,0,0.0,423.0,Bangalore,29,5,Instant,Thursday,False,May
BLK10147,2024-11-27,14:18:00,2024-11-27 14:18:00,Beverages,Soft Drinks,3,83,249,0,0.0,249.0,Bangalore,28,4,Instant,Wednesday,False,November
BLK10148,2024-07-16,18:11:00,2024-07-16 18:11:00,Dairy,Butter,5,161,805,24,193.2,611.8,Bangalore,34,5,Scheduled,Tuesday,False,July
BLK10149,2024-04-02,17:20:00,2024-04-02 17:20:00,Groceries,Rice,3,206,618,0,0.0,618.0,Bangalore,30,5,Instant,Tuesday,False,April
BLK10150,2024-06-28,22:02:00,2024-06-28 22:02:00,Fruits & Vegetables,Tomatoes,4,90,360,0,0.0,360.0,Kolkata,40,5,Instant,Friday,False,June
BLK10151,2024-11-22,20:23:00,2024-11-22 20:23:00,Personal Care,Soap,2,478,956,25,239.0,717.0,Delhi,30,3,Instant,Friday,False,November
BLK10152,2024-07-15,09:38:00,2024-07-15 09:38:00,Snacks,Noodles,3,123,369,0,0.0,369.0,Bangalore,24,5,Instant,Monday,False,July
BLK10153,2024-11-28,16:15:00,2024-11-28 16:15:00,Groceries,Rice,4,315,1260,13,163.8,1096.2,Mumbai,31,5,Instant,Thursday,False,November
BLK10154,2024-04-19,17:44:00,2024-04-19 17:44:00,Dairy,Curd,2,62,124,0,0.0,124.0,Delhi,27,3,Scheduled,Friday,False,April
BLK10155,2024-12-15,18:42:00,2024-12-15 18:42:00,Beverages,Soft Drinks,5,168,840,0,0.0,840.0,Kolkata,44,5,Scheduled,Sunday,True,December
BLK10156,2024-11-22,13:50:00,2024-11-22 13:50:00,Beverages,Energy Drinks,1,122,122,0,0.0,122.0,Mumbai,27,4,Instant,Friday,False,November
BLK10157,2024-10-20,19:29:00,2024-10-20 19:29:00,Personal Care,Soap,1,97,97,0,0.0,97.0,Kolkata,44,4,Instant,Sunday,True,October
BLK10158,2024-07-29,21:52:00,2024-07-29 21:52:00,Personal Care,Shampoo,3,105,315,0,0.0,315.0,Mumbai,42,4,Instant,Monday,False,July
BLK10159,2024-10-09,13:49:00,2024-10-09 13:49:00,Snacks,Noodles,1,41,41,15,6.15,34.85,Kolkata,38,3,Scheduled,Wednesday,False,October
BLK10160,2024-04-25,19:33:00,2024-04-25 19:33:00,Beverages,Soft Drinks,2,160,320,0,0.0,320.0,Bangalore,35,5,Instant,Thursday,False,April
BLK10161,2024-11-24,13:37:00,2024-11-24 13:37:00,Personal Care,Soap,5,375,1875,0,0.0,1875.0,Mumbai,34,2,Instant,Sunday,True,November
BLK10162,2024-11-24,16:41:00,2024-11-24 16:41:00,Snacks,Cookies,5,173,865,0,0.0,865.0,Chennai,27,4,Instant,Sunday,True,November
BLK10163,2024-06-03,23:15:00,2024-06-03 23:15:00,Fruits & Vegetables,Potatoes,4,38,152,0,0.0,152.0,Bangalore,23,3,Instant,Monday,False,June
BLK10164,2024-06-23,12:20:00,2024-06-23 12:20:00,Fruits & Vegetables,Tomatoes,4,53,212,12,25.44,186.56,Bangalore,28,5,Instant,Sunday,True,June
